id;name;publisher;region;languages;group;imagesize;serial;titleid;imgcrc;filename;releasename;trimmedsize;firmware;type;card
1377;Shaun the Sheep all episodes incl making of;Nintendo;EUR;en;BigBlueBox;2048;CTR-MBMP;00040000000F2A00;6684BD70;bbb-mbmp;ShauntheSheepallepisodesinclmakingofEUR3DS-BigBlueBox;263892992;510E;4;1
1378;The 3D Machine;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAAP;0004000000096F00;309B42DE;bbb-n-maap;The3DMachineEUR3DS-BigBlueBox;50610176;300E;4;1
1379;The 3D Machine Series - Ep 1;Nintendo;EUR;en;BigBlueBox;1024;CTR-MA8P;00040000000C5A00;CD8CA122;bbb-n-ma8p;The3DMachineSeriesEp1EUR3DS-BigBlueBox;29458432;300E;4;1
1380;The 3D Machine Series - Ep 2;Nintendo;EUR;en;BigBlueBox;1024;CTR-MA9P;00040000000C5B00;D5A402F9;bbb-n-ma9p;The3DMachineSeriesEp2EUR3DS-BigBlueBox;29433856;300E;4;1
1381;The 3D Machine Series - Ep 3;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBAP;00040000000C5C00;D90AA5D2;bbb-n-mbap;The3DMachineSeriesEp3EUR3DS-BigBlueBox;28811264;300E;4;1
1382;The 3D Machine Series - Ep 4;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBBP;00040000000C5D00;CCE3FAE0;bbb-n-mbbp;The3DMachineSeriesEp4EUR3DS-BigBlueBox;29310976;300E;4;1
1383;The 3D Machine Series - Ep 5;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBCP;00040000000C5E00;310DC03B;bbb-n-mbcp;The3DMachineSeriesEp5EUR3DS-BigBlueBox;28966912;300E;4;1
1384;The Beet Party - Ep1 - Beet Poets;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBFP;00040000000D9300;3F2C4591;bbb-n-mbfp;TheBeetPartyEp1BeetPoetsEUR3DS-BigBlueBox;31305728;500E;4;1
1385;The Beet Party - Ep2 - Beet Scratch;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAQP;00040000000AEF00;584F6C2D;bbb-n-maqp;TheBeetPartyEp2BeetScratchEUR3DS-BigBlueBox;35274752;300E;4;1
1386;The Beet Party - Ep3 - Jurassic Fridge;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAMP;00040000000AEC00;77634447;bbb-n-mamp;TheBeetPartyEp3JurassicFridgeEUR3DS-BigBlueBox;31899648;300E;4;1
1387;The Beet Party - Ep4 - UnderWaterMelon;Nintendo;EUR;en;BigBlueBox;1024;CTR-MA6P;00040000000BB400;EC89E23B;bbb-n-ma6p;TheBeetPartyEp4UnderWaterMelonEUR3DS-BigBlueBox;28229632;500E;4;1
1388;The Beet Party - Ep5 - Unidentified Flying Waffle;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBGP;00040000000D9400;EE54305B;bbb-n-mbgp;TheBeetPartyEp5UnidentifiedFlyingWaffleEUR3DS-BigBlueBox;32268288;500E;4;1
1389;The Beet Party - Ep6 - Call Me Aneek Neek;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBHP;00040000000D9500;47F2A47C;bbb-n-mbhp;TheBeetPartyEp6CallMeAneekNeekEUR3DS-BigBlueBox;32473088;500E;4;1
1390;The Incredible Barbazan - Ep1 - The Cabinet of Fear;Nintendo;EUR;en;BigBlueBox;1024;CTR-MADP;00040000000A3A00;95D154AF;bbb-n-madp;TheIncredibleBarbazanEp1TheCabinetofFearEUR3DS-BigBlueBox;48418816;300E;4;1
1391;The Incredible Barbazan - Ep2 - The Fire Juggler;Nintendo;EUR;en;BigBlueBox;1024;CTR-MABP;00040000000A3800;303C2EC8;bbb-n-mabp;TheIncredibleBarbazanEp2TheFireJugglerEUR3DS-BigBlueBox;29544448;300E;4;1
1392;The Incredible Barbazan - Ep3 - The Human Cannonball 2;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAGP;00040000000A3D00;D34FE329;bbb-n-magp;TheIncredibleBarbazanEp3TheHumanCannonball2EUR3DS-BigBlueBox;29921280;300E;4;1
1393;The Incredible Barbazan - Ep4 - The Knife Thrower;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAEP;00040000000A3B00;50A8A962;bbb-n-maep;TheIncredibleBarbazanEp4TheKnifeThrowerEUR3DS-BigBlueBox;32468992;300E;4;1
1394;The Incredible Barbazan - Ep5 - Raging Bull;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAFP;00040000000A3C00;0D9331F2;bbb-n-mafp;TheIncredibleBarbazanEp5RagingBullEUR3DS-BigBlueBox;30265344;300E;4;1
1395;The Incredible Barbazan - Ep6 - Up Your Sleeve;Nintendo;EUR;en;BigBlueBox;1024;CTR-MAHP;00040000000A3F00;A977E812;bbb-n-mahp;TheIncredibleBarbazanEp6UpYourSleeveEUR3DS-BigBlueBox;30269440;300E;4;1
1396;Treasures of the World Barcelona, Paris, Rome;Nintendo;EUR;en;BigBlueBox;1024;CTR-MBSP;000400000010B800;3E50C3CC;bbb-n-mbsp;TreasuresoftheWorldBarcelonaParisRomeEUR3DS-BigBlueBox;127385600;300E;4;1
1397;Shingeki no Kyojin - Jinrui Saigo no Tsubasa CHAIN;Spike Chunsoft;JPN;ja;Caravan;16384;CTR-BG2J;0004000000134500;ED7247D2;cvn-skjstjc;Shingeki_no_Kyojin_Jinrui_Saigo_no_Tsubasa_Chain_JPN_3DS-Caravan;1627410432;810J;1;1
1398;Fujiko F Fujio Characters Daishuugou! SF Dotabata Party!;Bandai Namco Games;JPN;ja;HR;4096;CTR-BFPJ;0004000000144700;5666164B;hr-fff;Fujiko_F_Fujio_Characters_Daishuugou_SF_Dotabata_Party_JPN_3DS-HR;312098816;700J;1;1
